video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7532991009517620535,2025-07-30T23:00:00,39,US,57300,8630,299,1500000,Perfect Match Season 3 is dialing up the DRAMA premieres August 1 #PerfectMatch,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532986591929781517,2025-07-30T22:00:00,53,US,22500,170,87,217700,#SofiaCarson and #CoreyMylchreest do an #ASMR and only one of them knows how to whisper. #MyOxfordYear premieres August 1,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532959329691995405,2025-07-30T21:00:00,7,US,4982,19,127,97800,OKAYYYYY #BuildingTheBand,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532887777998916878,2025-07-30T18:00:00,10,US,18400,69,166,320200,that's not some random that's happy gilmore #HappyGilmore2,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532931676624719118,2025-07-30T17:42:48,7,US,154500,2836,450,1300000,Jenna Ortega stunning on the purple carpet at the #wednesdaynetflix premiere ,False,"Jenna Ortega 
arrives at the 
WEDNESDAY 
premiere ",netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532850607430847757,2025-07-30T16:00:00,22,US,125500,10300,534,1400000,will let this one speak for itself #HappyGilmore2,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532847006503472397,2025-07-30T14:00:00,90,US,61000,2346,357,491200,@alexabliss_wwe_official takes on the Netflix roller coaster interview!    🎢: @knottsberryfarmofficial  💬: @kinseywolanski   #wwe #wweonnetflix #netflix #alexabliss #summerslam,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532704302033276173,2025-07-30T03:00:03,10,PH,19900,480,404,447700,"Australia, if you’re waiting for a sign, this is it. Apply for tickets to Wednesday Island by August 3. Link in bio🎟️  #Wednesday #austok",True,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532598142391340302,2025-07-29T21:00:00,26,US,30600,347,336,336500,bring your cousin to work day #HappyGilmore2,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532568626721852686,2025-07-29T20:00:00,142,US,49700,1079,409,908900,"Two legends. One plan. Zero room for error. In a sea of chaos, Triple H and The Rock carve out a moment to rewrite WWE history—with John Cena at the center. #WWEUnreal",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532558737760865591,2025-07-29T19:00:00,20,US,756600,55500,9085,3400000,It's official. #KpopDemonHunters is Netflix’s most-watched original animated film of all time!,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532541718478998797,2025-07-29T18:00:00,59,US,57700,755,514,449200,first live performance from THEE winners of building the band season 1: 3Quency!!,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532479396641279287,2025-07-29T17:00:00,20,US,3659,162,164,84000,she has no lines yet she’s my favorite character somebody explain…  #kuromiandmymelody,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532478804611124494,2025-07-29T16:00:00,64,US,1100000,39500,3641,25900000,@badbunny taught sandler to dance on set #HappyGilmore2,True,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532494557678750989,2025-07-29T13:27:03,37,US,3444,274,127,77600,"A new look at Genndy Tartakovsky’s FIXED. An R-Rated adult animation film following a dog’s last 24 hours before being neutered. Starring Adam Devine, Idris Elba, Kathryn Hahn, and more!",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532294354321313079,2025-07-29T03:00:00,11,PH,1538,14,231,82300,For all my Aussies & Kiwis crying to sleep whilst the portable heater works overtime. ❄️ #SocietyOfTheSnow #austok,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532230811936967950,2025-07-28T23:00:00,172,US,13800,675,309,233700,Triple H breaks down how the John Cena heel turn went down. WWE: UNREAL DROPS JULY 29 #WWEonNetflix #JohnCena #WWE,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532226710620753165,2025-07-28T21:00:00,89,US,2237,12,87,92700,your faves play most likely to - dating show edition 💋 #PerfectMatch,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7532135032408870157,2025-07-28T19:00:00,21,US,5194,33,158,118100,douglas booth ate this role in #TheSandman,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
